"dien_tich","gia","dia_chi","huong","link_source","lon","lat"
"Di<U+1EC7>n tích: 118 m2","Giá: 31 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Trung Kính, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",105.7927008,21.0386562
"Di<U+1EC7>n tích: 98 m2","Giá: 3,28 t<U+1EF7> ","Ph<U+1ED1> Tr<U+1EA7>n Ðang Ninh, Phu<U+1EDD>ng D<U+1ECB>ch V<U+1ECD>ng, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",105.7954645,21.0151308
"Di<U+1EC7>n tích: 128 m2","Giá: 35,5 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Trung Kính, Phu<U+1EDD>ng Yên Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",NA,NA
"Di<U+1EC7>n tích: 78 m2","Giá: 29 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Th<U+1ECB> Ð<U+1ECB>nh, Phu<U+1EDD>ng Trung Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",105.8029836,21.0070677
"Di<U+1EC7>n tích: 119 m2","Giá: 30 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Hoàng Ð<U+1EA1>o Thúy, Phu<U+1EDD>ng Trung Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",105.8039341,21.0046289
"Di<U+1EC7>n tích: 77 m2","Giá: 36,5 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Lê Van Luong, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",105.8128851,21.0153717
"Di<U+1EC7>n tích: 101 m2","Giá: 4,4 t<U+1EF7> ","Ðu<U+1EDD>ng Láng H<U+1EA1>, Qu<U+1EAD>n Ð<U+1ED1>ng Ða, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",105.8046779,21.0054445
"Di<U+1EC7>n tích: 57 m2","Giá: 1,8 t<U+1EF7> ","Ðu<U+1EDD>ng Lê Van Luong, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",105.8046779,21.0054445
"Di<U+1EC7>n tích: 52 m2","Giá: 1,58 t<U+1EF7> ","Ðu<U+1EDD>ng Lê Van Luong, Phu<U+1EDD>ng Trung Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--17.html#",105.799529,21.0107492
"Di<U+1EC7>n tích: 81 m2","Giá: 3,45 t<U+1EF7> ","Ðu<U+1EDD>ng Tr<U+1EA7>n Duy Hung, Phu<U+1EDD>ng Trung Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.7882175,21.0306691
"Di<U+1EC7>n tích: 111 m2","Giá: 31,5 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Tr<U+1EA7>n Thái Tông, Phu<U+1EDD>ng D<U+1ECB>ch V<U+1ECD>ng, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.7922684,21.0120214
"Di<U+1EC7>n tích: 139 m2","Giá: 31 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Chánh, Phu<U+1EDD>ng Trung Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.7977659,21.0333975
"Di<U+1EC7>n tích: 80 m2","Giá: 30 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng C<U+1EA7>u Gi<U+1EA5>y, Phu<U+1EDD>ng Yên Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.7885175,21.0167175
"Di<U+1EC7>n tích: 45 m2","Giá: 1,35 t<U+1EF7> ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Chánh, Phu<U+1EDD>ng Yên Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.8031129,21.0040864
"Di<U+1EC7>n tích: 66 m2","Giá: 1,5 t<U+1EF7> ","Ðu<U+1EDD>ng Lê Van Luong, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.8122311,21.0217113
"Di<U+1EC7>n tích: 38 m2","Giá: 2,05 t<U+1EF7> ","Ph<U+1ED1> Nguyên H<U+1ED3>ng, Phu<U+1EDD>ng Thành Công, Qu<U+1EAD>n Ba Ðình, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 97 m2","Giá: 3,68 t<U+1EF7> ","Ðu<U+1EDD>ng C<U+1EA7>u Gi<U+1EA5>y, Phu<U+1EDD>ng D<U+1ECB>ch V<U+1ECD>ng, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 115 m2","Giá: 3,83 t<U+1EF7> ","Ðu<U+1EDD>ng D<U+1ECB>ch V<U+1ECD>ng, Phu<U+1EDD>ng D<U+1ECB>ch V<U+1ECD>ng, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.78634,21.0100492
"Di<U+1EC7>n tích: 206 m2","Giá: 8 t<U+1EF7> ","Ðu<U+1EDD>ng Ph<U+1EA1>m Hùng, Phu<U+1EDD>ng M<U+1EC5> Trì, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.9078824,21.0250398
"Di<U+1EC7>n tích: 65 m2","Giá: 12,22 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Th<U+1EA1>ch Bàn, Phu<U+1EDD>ng Th<U+1EA1>ch Bàn, Qu<U+1EAD>n Long Biên, Hà N<U+1ED9>i","Hu<U+1EDB>ng: B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 76 m2","Giá: 20,2 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Tân Mai, Phu<U+1EDD>ng Tân Mai, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.8546143,20.9835027
"Di<U+1EC7>n tích: 75 m2","Giá: 21 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Tân Mai, Phu<U+1EDD>ng Tân Mai, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 117 m2","Giá: 30,5 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Hoàng Qu<U+1ED1>c Vi<U+1EC7>t, Phu<U+1EDD>ng Nghia Ðô, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 70 m2","Giá: 13,6 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Long Biên, Phu<U+1EDD>ng Th<U+1EA1>ch Bàn, Qu<U+1EAD>n Long Biên, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.740875,21.027983
"Di<U+1EC7>n tích: 69 m2","Giá: 11,1 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng 70, Phu<U+1EDD>ng Xuân Phuong, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 128 m2","Giá: 25 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Ph<U+1EA1>m Van Ð<U+1ED3>ng, Phu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Qu<U+1EAD>n B<U+1EAF>c T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 108 m2","Giá: 22,4 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Ph<U+1EA1>m Van Ð<U+1ED3>ng, Phu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Qu<U+1EAD>n B<U+1EAF>c T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 42 m2","Giá: 1,1 t<U+1EF7> ","Ph<U+1ED1> H<U+1ED3>ng Mai, Phu<U+1EDD>ng Quy`nh Mai, Qu<U+1EAD>n Hai Bà Trung, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",105.7881166,20.9677131
"Di<U+1EC7>n tích: 63 m2","Giá: 15 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Phùng Hung, Phu<U+1EDD>ng Ki<U+1EBF>n Hung, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--18.html#",NA,NA
"Di<U+1EC7>n tích: 62 m2","Giá: 17 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Duong N<U+1ED9>i, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",105.7830389,20.9826854
"Di<U+1EC7>n tích: 72 m2","Giá: 1,75 t<U+1EF7> ","Ðu<U+1EDD>ng M<U+1ED7> Lao, Phu<U+1EDD>ng M<U+1ED9> Lao, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 70 m2","Giá: 1,5 t<U+1EF7> ","Ph<U+1ED1> Tân Mai, Phu<U+1EDD>ng Tân Mai, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 75 m2","Giá: 1,45 t<U+1EF7> ","Ðu<U+1EDD>ng L<U+1EA1>c Long Quân, Phu<U+1EDD>ng Nghia Ðô, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 65 m2","Giá: 1,65 t<U+1EF7> ","Ðu<U+1EDD>ng Luong Khánh Thi<U+1EC7>n, Phu<U+1EDD>ng Tuong Mai, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 59 m2","Giá: 26,5 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Tuân, Phu<U+1EDD>ng Thanh Xuân Trung, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",105.8464592,21.0090917
"Di<U+1EC7>n tích: 45 m2","Giá: 1,2 t<U+1EF7> ","Ðu<U+1EDD>ng Vân H<U+1ED3> III, Phu<U+1EDD>ng Lê Ða<U+0323>i Ha`nh, Qu<U+1EAD>n Hai Bà Trung, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",105.7773412,21.0194942
"Di<U+1EC7>n tích: 46 m2","Giá: 800 tri<U+1EC7>u ","Ðu<U+1EDD>ng Ðình Thôn, Phu<U+1EDD>ng M<U+1EF9> Ðình 1, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 47 m2","Giá: 896 tri<U+1EC7>u ","Ðu<U+1EDD>ng Lê Van Luong, Phu<U+1EDD>ng Duong N<U+1ED9>i, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 70 m2","Giá: 28 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Ð<U+1EA1>i M<U+1ED7>, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 54 m2","Giá: 950 tri<U+1EC7>u ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Duong N<U+1ED9>i, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 69 m2","Giá: 2,05 t<U+1EF7> ","Ðu<U+1EDD>ng Lê Van Luong, Phu<U+1EDD>ng V<U+1EA1>n Phúc, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 90 m2","Giá: 1,8 t<U+1EF7> ","Ðu<U+1EDD>ng Thanh Bình, Phu<U+1EDD>ng M<U+1ED9> Lao, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 48 m2","Giá: 850 tri<U+1EC7>u ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Duong N<U+1ED9>i, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 56 m2","Giá: 21 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng T<U+1EC9>nh l<U+1ED9> 70, Phu<U+1EDD>ng Xuân Phuong, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",105.7736169,20.9842881
"Di<U+1EC7>n tích: 73 m2","Giá: 1,9 t<U+1EF7> ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Ð<U+1EA1>i M<U+1ED7>, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 70 m2","Giá: 980 tri<U+1EC7>u ","Ðu<U+1EDD>ng Lê Van Luong, Phu<U+1EDD>ng V<U+1EA1>n Phúc, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 83 m2","Giá: 1,8 t<U+1EF7> ","Ðu<U+1EDD>ng Thanh Bình, Phu<U+1EDD>ng M<U+1ED9> Lao, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông B<U+1EAF>c","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 64 m2","Giá: 20 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 73 m2","Giá: 24 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Tân Mai, Phu<U+1EDD>ng Tân Mai, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--19.html#",NA,NA
"Di<U+1EC7>n tích: 63 m2","Giá: 26 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Lê Van Luong, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.8041149,20.9973448
"Di<U+1EC7>n tích: 70 m2","Giá: 20 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",NA,NA
"Di<U+1EC7>n tích: 70 m2","Giá: 20 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.8041149,20.9973448
"Di<U+1EC7>n tích: 64 m2","Giá: 1,28 t<U+1EF7> ","Ph<U+1ED1> Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.7840373,21.0309274
"Di<U+1EC7>n tích: 56 m2","Giá: 1,5 t<U+1EF7> ","Ph<U+1ED1> Duy Tân, Phu<U+1EDD>ng D<U+1ECB>ch V<U+1ECD>ng H<U+1EAD>u, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.8546143,20.9835027
"Di<U+1EC7>n tích: 76 m2","Giá: 25 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Tân Mai, Phu<U+1EDD>ng Tân Mai, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",NA,NA
"Di<U+1EC7>n tích: 76 m2","Giá: 24 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Tân Mai, Phu<U+1EDD>ng Tân Mai, Qu<U+1EAD>n Hoàng Mai, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",NA,NA
"Di<U+1EC7>n tích: 70 m2","Giá: 23 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.8031129,21.0040864
"Di<U+1EC7>n tích: 66 m2","Giá: 1,7 t<U+1EF7> ","Ðu<U+1EDD>ng Lê Van Luong, Phu<U+1EDD>ng Nhân Chính, Qu<U+1EAD>n Thanh Xuân, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.7670309,21.0236716
"Di<U+1EC7>n tích: 153 m2","Giá: 21,5 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Lê Ð<U+1EE9>c Th<U+1ECD>, Phu<U+1EDD>ng M<U+1EF9> Ðình 1, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.7622547,21.0206023
"Di<U+1EC7>n tích: 94 m2","Giá: 24,5 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Co Th<U+1EA1>ch, Phu<U+1EDD>ng M<U+1EF9> Ðình 1, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",NA,NA
"Di<U+1EC7>n tích: 94 m2","Giá: 25 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Co Th<U+1EA1>ch, Phu<U+1EDD>ng M<U+1EF9> Ðình 1, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.8158599,21.0224017
"Di<U+1EC7>n tích: 61 m2","Giá: 41 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Thành Công, Phu<U+1EDD>ng Thành Công, Qu<U+1EAD>n Ba Ðình, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.7939102,21.0165283
"Di<U+1EC7>n tích: 135 m2","Giá: 28,8 tri<U+1EC7>u / m2  ","Ph<U+1ED1> Vu Ph<U+1EA1>m Hàm, Phu<U+1EDD>ng Trung Hòa, Qu<U+1EAD>n C<U+1EA7>u Gi<U+1EA5>y, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.7691421,20.9687917
"Di<U+1EC7>n tích: 134 m2","Giá: 20 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Ngô Thì Nh<U+1EAD>m, Phu<U+1EDD>ng Hà C<U+1EA7>u, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--20.html#",105.7855108,21.0365018
